column,column_nat,column_type,table_list,table_cnt,type,sample_list
common_end_by_uer_cnt,기본 END BY UER CNT,int,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[3, 4, 9]"
common_end_lat,GPS END 위도,float,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[0.02663, 0.36432, 0.5021]"
common_end_lon,GPS END 경도,float,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[0.7317003, 0.8613608, 0.945685]"
common_end_time,기본 END TIme,timestamp,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,date,"['1bDmlUJ9W7', 'JMf1kKMKG', 'gkoT1SkObyd']"
common_error_cnt,기본 ERROR CNT,int,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[1, 3, 6]"
common_etc_call_cnt,기본 ETC,int,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[1, 5, 5]"
common_heading,GPS Current Heading,int,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[2, 5, 5]"
common_height,GPS Current Height,float,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[0.39, 0.49, 0.62]"
common_hspa_plus_network_ratio,기본 HSPA Network Ratio,float,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[0.42055, 0.4342, 0.66444]"
common_hspda_network_ratio,기본 HSPDA Network Ratio,float,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[0.17489, 0.77878, 0.94986]"
common_hsupa_network_ratio,기본 HSUPA Network Ratio,float,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[0.038793, 0.190712, 0.950736]"
common_idle_time,기본 Idle Time,timestamp,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,date,"['z1ZORwRfGA', 'E3Pkbawp', '5qfo6iUtDXrj']"
common_in_out_traffic,기본 Traffic 여부,string,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,string,"['Aa60hLC7', 'p2XNfrwzmovG', '6FhcSWaiGy']"
common_lat,GPS Current 위도,float,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[0.12, 0.25, 0.88]"
common_lon,GPS Current 경도,float,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[0.1, 0.5, 0.8]"
common_low_throughput_cnt,기본 LOW THROUGHPUT CNT,int,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[0, 0, 4]"
common_lte_20mhz_network_ratio,기본 LTE Network Ratio,float,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[0.3, 0.9, 0.9]"
common_lte_ca_network_ratio,기본 LTE CA Network Ratio,float,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[0.308554, 0.3913406, 0.553554]"
common_lte_network_ratio,기본 LTE Network Ratio,float,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[0.03781, 0.06931, 0.186]"
common_mobile_reset_cnt,기본 MOBILE RESET CNT,int,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[5, 7, 7]"
common_mos_calcluate_fail_cnt,기본 MOS CALCLUATE FAIL CNT,int,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[4, 7, 8]"
common_pending_cnt,기본 PENDING CNT,int,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[0, 0, 5]"
common_pending_max_sys_time_sec,기본 Pending Max Sys Time sec,float,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[0.1, 0.22, 0.97]"
common_pending_max_time_sec,기본 Pending Max Time sec,float,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[0.181506, 0.301025, 0.795793]"
common_pending_total_sys_time_sec,기본 Pending Total Sys Time sec,float,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[0.076, 0.643, 0.817]"
common_pending_total_time_sec,기본 Pending Total Time sec,float,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[0.560431, 0.69183, 0.884973]"
common_result,기본 RESULT,string,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,string,"['YQHDI560jCVb', 'cDX3BfAPo', 'loVqIDjZK']"
common_setup_fail_cnt,기본 SETUP FAIL CNT,int,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[1, 4, 8]"
